"MIC","OPERATING MIC","OPRT/SGMT","MARKET NAME-INSTITUTION DESCRIPTION","LEGAL ENTITY NAME","LEI","MARKET CATEGORY CODE","ACRONYM","ISO COUNTRY CODE (ISO 3166)","CITY","WEBSITE","STATUS","CREATION DATE","LAST UPDATE DATE","LAST VALIDATION DATE","EXPIRY DATE","COMMENTS"
"DRSP","DRSP","OPRT","EURONEXT  UK - REPORTING SERVICES","EURONEXT LONDON LIMITED","969500HMVSZ0TCV65D58","APPA","","GB","LONDON","WWW.EURONEXT.COM","ACTIVE","20210927","20210927","20210927","","APPROVED PUBLICATION ARRANGEMENT."
"XCNQ","XCNQ","OPRT","CANADIAN SECURITIES EXCHANGE","CNSX MARKETS, INC.","","RMKT","CSE LISTED","CA","TORONTO","WWW.THECSE.COM","ACTIVE","20090427","20210927","20210927","","FORMERLY KNOWN AS PURE (CSE OTHER LISTED) FORMERLY KNOWN AS THE CANADIAN NATIONAL STOCK EXCHANGE (CNSX)."
"PURE","XCNQ","SGMT","CANADIAN SECURITIES EXCHANGE - PURE","CNSX MARKETS, INC.","","NSPD","CSE-PURE","CA","TORONTO","WWW.THECSE.COM","ACTIVE","20061225","20210927","20210927","","FORMERLY KNOWN AS PURE (CSE OTHER LISTED) FORMERLY KNOWN AS THE CANADIAN NATIONAL STOCK EXCHANGE (CNSX)."
"ZODM","ZODM","OPRT","ZODIA MARKETS","ZODIA MARKETS HOLDINGS LIMITED","5493006GZOHISU7JTC27","NSPD","","GB","LONDON","WWW.ZODIA-MARKETS.COM","ACTIVE","20210927","20210927","20210927","","CRYPTOASSET BROKERAGE AND EXCHANGE."
"FNFX","BGCF","SGMT","FENICS FX ECN","FENICS FX, LLC","549300I0NONVB9S5DZ56","NSPD",,"US","NEW YORK","WWW.FENICSFX.COM","ACTIVE","20210927","20210927","20210927","","ELECTRONIC COMMUNICATIONS NETWORK."
"NORX","NORX","OPRT","NASDAQ OSLO ASA","NASDAQ OSLO ASA","5493003IZZWOHHJY1L88","RMKT","","NO","OSLO","WWW.NASDAQ.COM/SOLUTIONS/EUROPEAN-COMMODITIES","ACTIVE","20110523","20210927","20210927","",""
"POSE","POSE","OPRT","PORTFOLIO STOCK EXCHANGE","EUROPEAN DIGITAL SECURITIES EXCHANGE, S.L.","959800UP9ANDBHTKJ408","MLTF","","ES","MADRID","WWW.PORTFOLIO.EXCHANGE","ACTIVE","20210927","20210927","","","MULTILATERAL TRADING FACILITY."
"PUND","PUND","OPRT","PUNDION LLC","PUNDION LLC","549300FOYST42PEQ1R51","NSPD","","US","NEW YORK","WWW.PUNDION.COM","ACTIVE","20210927","20210927","20210927","","EQUITY PRODUCTS."
"UCBG","UCBG","OPRT","UNICREDIT BULBANK AD","UNICREDIT BULBANK AD","549300Z7V2WOFIMUEK50","SINT","","BG","SOFIA","WWW.UNICREDITBULBANK.BG","ACTIVE","20210927","20210927","20210927","","SYSTEMATIC INTERNALISER."
"NZFX","XASX","SGMT","ASX - NEW ZEALAND FUTURES & OPTIONS","AUSTRALIAN SECURITIES EXCHANGE (ASX)","549300SDXT36XYPVWI79","NSPD","ASX","AU","SYDNEY","WWW.ASX.COM.AU","ACTIVE","20070924","20210927","20210927","",""
